BioSample accession no.,SourceSeq.,Strain_ID/Alias,IsolatYear,SourceCountry,Serogroup_type,ST,No. void loci
SAMEA2445201,ERR572768,352STDY5784785,,,,515,2
SAMEA2445202,ERR572769,352STDY5784786,,,,515,1
SAMEA2445203,ERR572770,352STDY5784787,,,,515,5
SAMEA2445204,ERR572771,352STDY5784788,,,,515,3
SAMEA2445205,ERR572772,352STDY5784789,,,,515,1
SAMEA2445206,ERR572773,352STDY5784790,,,,515,3
SAMEA2445208,ERR572774,352STDY5784792,,,,515,1
SAMEA2445209,ERR572775,352STDY5784793,,,,515,0
SAMEA2445210,ERR572776,352STDY5784794,,,,515,0
SAMEA2445211,ERR572777,352STDY5784795,,,,515,7
SAMEA2445212,ERR572778,352STDY5784796,,,,515,3
SAMEA2445213,ERR572779,352STDY5784797,,,,515,1
SAMEA2445214,ERR572780,352STDY5784798,,,,515,2
SAMEA2445215,ERR572781,352STDY5784799,,,,515,1
SAMEA2445216,ERR572782,352STDY5784800,,,,515,2
SAMEA2445217,ERR572783,352STDY5784801,,,,515,3
SAMEA2445219,ERR572785,352STDY5784803,,,,515,3
SAMEA2445220,ERR572786,352STDY5784804,,,,515,2
SAMEA2445221,ERR572787,352STDY5784805,,,,515,3
SAMEA2445222,ERR572788,352STDY5784806,,,,515,2
SAMEA2445223,ERR572789,352STDY5784807,,,,515,4
SAMEA2445224,ERR572790,352STDY5784808,,,,515,5
SAMEA2445225,ERR572791,352STDY5784809,,,,515,5
SAMEA2445227,ERR572793,352STDY5784811,,,,515,3
SAMEA2445228,ERR572794,352STDY5784812,,,,515,2
SAMEA2445229,ERR572795,352STDY5784813,,,,69,2
SAMEA2445230,ERR572796,352STDY5784814,,,,515,2
SAMEA2445231,ERR572797,352STDY5784815,,,,515,1
SAMEA2445232,ERR572798,352STDY5784816,,,,515,0
SAMEA2445233,ERR572799,352STDY5784817,,,,515,3
SAMEA2445235,ERR572801,352STDY5784819,,,,515,4
SAMEA2445237,ERR572803,352STDY5784821,,,,515,3
SAMEA2445238,ERR572804,352STDY5784822,,,,515,4
SAMEA2445239,ERR572805,352STDY5784823,,,,515,0
SAMEA2445240,ERR572806,352STDY5784824,,,,515,0
SAMEA2445241,ERR572807,352STDY5784825,,,,515,2
SAMEA2445242,ERR572808,352STDY5784826,,,,515,2
SAMEA2445243,ERR572809,352STDY5784827,,,,515,1
SAMEA2445244,ERR572810,352STDY5784828,2001,DR Congo,,515,37
SAMEA2445245,ERR572811,352STDY5784829,,,,515,1
SAMEA2445247,ERR572812,352STDY5784831,,,,515,3
SAMEA2445248,ERR572813,352STDY5784832,,,,515,1
SAMEA2445249,ERR572814,352STDY5784833,,,,515,1
SAMEA2445250,ERR572815,352STDY5784834,,,,515,0
SAMEA2445251,ERR572816,352STDY5784835,,,,515,1
SAMEA2445252,ERR572817,352STDY5784836,,,,515,0
SAMEA2445253,ERR572818,352STDY5784837,,,,515,4
SAMEA2445254,ERR572819,352STDY5784838,,,,515,1
SAMEA2445255,ERR572820,352STDY5784839,,,,515,1
SAMEA2445256,ERR572821,352STDY5784840,,,,515,4
SAMEA2445257,ERR572822,352STDY5784841,,,,515,3
SAMEA2445258,ERR572823,352STDY5784842,,,,515,3
SAMEA2445259,ERR572824,352STDY5784843,,,,515,5
SAMEA2445260,ERR572825,352STDY5784844,,,,515,2
SAMEA2445261,ERR572826,352STDY5784845,,,,515,2
SAMEA2445262,ERR572827,352STDY5784846,,,,515,4
SAMEA2445264,ERR572828,352STDY5784848,,,,515,7
SAMEA2445269,ERR572829,352STDY5784853,,,,515,1
SAMEA2445270,ERR572830,352STDY5784854,,,,515,5
SAMEA2445271,ERR572831,352STDY5784855,,,,515,2
SAMEA2445272,ERR572832,352STDY5784856,,,,515,1
SAMEA2445273,ERR572833,352STDY5784857,,,,515,3
SAMEA2445276,ERR572834,352STDY5784860,,,,,53
SAMEA2445277,ERR572835,352STDY5784862,,,,515,4
SAMEA2445278,ERR572836,352STDY5784863,,,,69,4
SAMEA2445284,ERR572837,352STDY5784869,,,,515,0
SAMEA2445285,ERR572838,352STDY5784870,,,,,37
SAMEA2445295,ERR572839,352STDY5784880,,,,69,0
SAMEA2445300,ERR572840,352STDY5784885,,,,69,2
SAMEA2445307,ERR572841,352STDY5784892,,,,69,0
SAMEA2445309,ERR572842,352STDY5784894,,,,69,0
SAMEA2445323,ERR572845,352STDY5784908,,,,,49
SAMEA2445324,ERR572846,352STDY5784909,,,,515,3
SAMEA2693521,ERR576950,V01,1991,Chiile,,69,3
SAMEA2693539,ERR576951,V011506,2001,China,O1_Inaba,69,1
SAMEA2696120,ERR576970,T21,1990,Thailand,O1_Inaba,69,17
SAMEA2696121,ERR576971,GD196110,1961,China,O1_Ogawa,69,3
SAMEA2696122,ERR576972,D118,1961,China,O1_Ogawa,,13
SAMEA2696124,ERR576974,AHV1003,2010,China,O1_Ogawa,69,0
SAMEA2696125,ERR576975,956-CN,2001,China,O1_Ogawa,69,3
SAMEA2696126,ERR576976,936-CN,1998,China,O1_Ogawa,69,9
SAMEA2696127,ERR576977,93284,1993,China,O1_Ogawa,69,3
SAMEA2696128,ERR576978,863,1986,Mauritania,O1_Ogawa,69,4
SAMEA2696129,ERR576979,642345,1964,China,O1_Ogawa,69,19
SAMEA2696130,ERR576980,63244,1963,China,O1_Ogawa,69,5
SAMEA2696131,ERR576981,6312,1961,Indonesia,O1_Ogawa,69,19
SAMEA2696132,ERR576982,6311,1961,Indonesia,O1_Ogawa,69,16
SAMEA2696133,ERR576983,6310,1961,Indonesia,O1_Ogawa,69,14
SAMEA2696134,ERR576984,4210-CN,1999,China,O1_Ogawa,69,7
SAMEA2696135,ERR576985,4070-CN,1994,China,O1_Ogawa,69,16
SAMEA2696136,ERR576986,4039-CN,1993,China,O1_Ogawa,69,3
SAMEA2696137,ERR576987,3735-CN,1988,China,O1_Inaba,69,7
SAMEA2696138,ERR576988,3633-CN,1984,China,O1_Ogawa,69,4
SAMEA2696145,ERR576995,SC83535,1983,China,O1,69,2
SAMEA2696146,ERR576996,SD83101,1983,China,O1,69,5
SAMEA2696279,ERR577139,ZJ82428,1982,China,O1,69,8
SAMEA2696280,ERR577140,3538-CN,1981,China,O1_Ogawa,69,13
SAMEA2696281,ERR577141,JX801290,1980,China,O1,69,3
SAMEA2696306,ERR577142,79005,1979,China,O1,69,8
SAMEA2696335,ERR577143,781079,,,O1,69,6
SAMEA2698305,ERR579049,3270-CN,1977,China,O1_Inaba,69,5
SAMEA2698306,ERR579050,7470,,,O1,,7
SAMEA2698307,ERR579051,3024-CN,1973,China,O1_Ogawa,69,5
SAMEA2698308,ERR579052,3014-CN,1969,China,O1_Inaba,69,7
SAMEA2698316,ERR579053,SH65930,1965,China,O1,69,31
SAMEA2698317,ERR579054,TJ64193,,,O1,69,15
SAMEA2698318,ERR579055,ZJ62110,1962,China,O1,69,19
SAMEA2698319,ERR579056,661673,1966,China,O1,69,9
SAMEA2698320,ERR579057,GD612639,1961,China,O1_Ogawa,69,34
SAMEA2698321,ERR579058,61226,,,O1,69,11
SAMEA2698322,ERR579059,2873-CN,1961,China,O1_Ogawa,69,2
SAMEA2698323,ERR579060,2865-CN,1961,China,O1_Ogawa,69,20
SAMEA2698324,ERR579061,2848-CN,1988,China,O1_Ogawa,69,1
SAMEA2698325,ERR579062,2833-CN,1979,China,O1_Inaba,69,3
SAMEA2698326,ERR579063,2783-CN,1964,China,O1_Ogawa,69,4
SAMEA2698327,ERR579064,2757-CN,1987,China,O1_Inaba,69,3
SAMEA2698328,ERR579065,2752-CN,1981,China,O1_Inaba,69,5
SAMEA2698329,ERR579066,2744-CN,1962,China,O1_Ogawa,69,16
SAMEA2698330,ERR579067,2710-CN,1986,China,O1_Inaba,69,9
SAMEA2698331,ERR579068,2657-CN,1995,China,O1_Ogawa,69,3
SAMEA2698332,ERR579069,2605-CN,1998,China,O1_Ogawa,69,4
SAMEA2698333,ERR579070,2580-CN,1989,China,O1_Inaba,69,9
SAMEA2698336,ERR579073,2530-CN,1996,China,O1_Ogawa,69,19
SAMEA2698337,ERR579074,2308-CN,1978,China,O1_Ogawa,69,4
SAMEA2698338,ERR579075,2008066,2008,China,O1,69,1
SAMEA2698339,ERR579076,1944-CN,2000,China,O1_Ogawa,69,1
SAMEA2698340,ERR579077,1998146,1998,China,O1,69,2
SAMEA2698341,ERR579078,1627-CN,1997,China,O1_Ogawa,69,6
SAMEA2698342,ERR579079,1605-CN,1993,China,O1_Ogawa,69,4
SAMEA2698343,ERR579080,1593-CN,1992,China,O1_Ogawa,69,6
SAMEA2698344,ERR579081,1583-CN,1991,China,O1_Ogawa,69,52
SAMEA2698345,ERR579082,1990016,1990,China,O1,69,3
SAMEA2698348,ERR579085,147-CN,2002,China,O1_Inaba,69,4
SAMEA2698349,ERR579086,143-CN,2001,China,O1_Ogawa,69,4
SAMEA2698350,ERR579087,132-CN,1978,China,O1_Inaba,69,2
SAMEA2698351,ERR579088,1283-CN,1984,China,O1_Inaba,69,2
SAMEA2698352,ERR579089,VC2454-CN,2005,China,O1_Inaba,69,6
SAMEA2698353,ERR579090,VC2248-CN,2008,China,O1_Inaba,69,1
SAMEA2698354,ERR579091,SC2000043-CN,,,O1,69,1
SAMEA2698355,ERR579092,SC1998242-CN,1998,China,O1_Ogawa,69,5
SAMEA2698356,ERR579093,JX19981306-CN,1998,China,O1_Ogawa,69,2
SAMEA2698377,ERR579114,SC1998098-CN,1998,China,O1_Ogawa,69,6
SAMEA2699023,ERR579310,9-CN,2001,China,O1_Inaba,69,3
SAMEA2699025,ERR579313,200106,2001,China,O1_Inaba,69,3
SAMEA2698347,ERR579986,1525-CN,1994,China,O1_Inaba,,8
SAMEA2699024,ERR580003,129-CN,1994,China,O1_Ogawa,69,2
SAMEA2691435,ERR580006,x190,1991,Peru,O1_Inaba,69,7
SAMEA2698335,ERR588956,FJ80004,,,O1,69,2
SAMEA2698346,ERR588961,1551-CN,1979,China,O1_Inaba,69,2
SAMEA2781617,ERR632093,3247-CN,1977,China,O1,75,4
SAMEA2781618,ERR632094,E506,1973,,O1,75,24
SAMEA3212655,ERR732739,ICDC-VC2272,,,,69,1
SAMEA3212656,ERR732773,ICDCJS4,,,,69,0
SAMEA3145922,ERR776112,MS1568Hil,,,,69,0
SAMEA3145923,ERR776113,MS1012Hil,,,,73,20
SAMEA3303386,ERR976391,CNRVC900105,,,,69,9
SAMEA3303389,ERR976392,CNRVC900117,,,,69,5
SAMEA3303391,ERR976393,CNRVC900123,,,,69,13
SAMEA3303393,ERR976394,CNRVC920170,1989,Malawi,,69,4
SAMEA3303395,ERR976395,CNRVC920172,,,,69,3
SAMEA3303397,ERR976396,CNRVC920194,1990,Angola,,69,5
SAMEA3303399,ERR976397,CNRVC930027,,,,69,8
SAMEA3303400,ERR976398,CNRVC930037,1970,Sierra Leone,,69,0
SAMEA3303403,ERR976399,CNRVC930038,1970,Ethiopia,,69,0
SAMEA3303406,ERR976400,CNRVC930042,,,,69,0
SAMEA3303408,ERR976401,CNRVC930046,1971,Chad,,69,4
SAMEA3303409,ERR976402,CNRVC930075,,,,69,0
SAMEA3303412,ERR976403,CNRVC930127,,,,69,0
SAMEA3303418,ERR976404,CNRVC930163,,,,69,8
SAMEA3303421,ERR976405,CNRVC930164,,,,69,0
SAMEA3303424,ERR976406,CNRVC930166,,,,69,2
SAMEA3303426,ERR976407,CNRVC930167,,,,69,1
SAMEA3303428,ERR976408,CNRVC930168,1982,Algeria,,69,0
SAMEA3303429,ERR976409,CNRVC930169,1986,Algeria,,69,0
SAMEA3303431,ERR976410,CNRVC930170,1984,DR Congo,,69,1
SAMEA3303433,ERR976411,CNRVC930171,,,,69,2
SAMEA3303435,ERR976412,CNRVC930172,,,,69,0
SAMEA3303436,ERR976413,CNRVC930187,1974,Algeria,,69,7
SAMEA3303439,ERR976414,CNRVC940051,1988,Rwanda,,69,3
SAMEA3303441,ERR976415,CNRVC950040,,,,69,3
SAMEA3303444,ERR976416,CNRVC950087,,,,69,1
SAMEA3303446,ERR976417,CNRVC950091,,,,69,3
SAMEA3303448,ERR976418,CNRVC950105,1974,Burkina Faso,,69,0
SAMEA3303450,ERR976419,CNRVC950106,,,,69,1
SAMEA3303452,ERR976420,CNRVC950138,,,,69,0
SAMEA3303455,ERR976421,CNRVC950140,,,,69,2
SAMEA3303458,ERR976422,CNRVC950141,,,,69,0
SAMEA3303459,ERR976423,CNRVC950142,,,,69,1
SAMEA3303462,ERR976424,CNRVC950143,,,,69,0
SAMEA3303463,ERR976425,CNRVC950182,,,,69,2
SAMEA3303465,ERR976426,CNRVC950189,1973,Cote d'lvoire,,69,1
SAMEA3303467,ERR976427,CNRVC950191,,,,69,0
SAMEA3303469,ERR976428,CNRVC950203,,,,69,0
SAMEA3303471,ERR976429,CNRVC950223,,,,69,0
SAMEA3303473,ERR976430,CNRVC950224,,,,69,54
SAMEA3303475,ERR976431,CNRVC950235,,,,69,0
SAMEA3303476,ERR976432,CNRVC950238,,,,69,1
SAMEA3303478,ERR976433,CNRVC950253,,,,69,1
SAMEA3303480,ERR976434,CNRVC950326,,,,69,1
SAMEA3303482,ERR976435,CNRVC950343,,,,69,2
SAMEA3303484,ERR976436,CNRVC950345,,,,69,2
SAMEA3303487,ERR976437,CNRVC950358,,,,69,0
SAMEA3303489,ERR976438,CNRVC950360,,,,69,0
SAMEA3303490,ERR976439,CNRVC950364,,,,69,0
SAMEA3303493,ERR976440,CNRVC950366,,,,69,0
SAMEA3303494,ERR976441,CNRVC950376,,,,69,0
SAMEA3303496,ERR976442,CNRVC950396,,,,69,2
SAMEA3303499,ERR976443,CNRVC950405,,,,69,3
SAMEA3303501,ERR976444,CNRVC950418,,,,69,0
SAMEA3303503,ERR976445,CNRVC950431,,,,69,0
SAMEA3303506,ERR976446,CNRVC950466,,,,69,0
SAMEA3303507,ERR976447,CNRVC950468,,,,69,0
SAMEA3303510,ERR976448,CNRVC950476,,,,69,0
SAMEA3303511,ERR976449,CNRVC950487,1972,Morocco,,69,2
SAMEA3303513,ERR976450,CNRVC950498,,,,69,0
SAMEA3303516,ERR976451,CNRVC950535,,,,69,4
SAMEA3303518,ERR976452,CNRVC950540,,,,69,1
SAMEA3303520,ERR976453,CNRVC950543,,,,69,0
SAMEA3303523,ERR976454,CNRVC950558,,,,69,0
SAMEA3303535,ERR976455,CNRVC950559,,,,69,0
SAMEA3303537,ERR976456,CNRVC950568,,,,69,0
SAMEA3303539,ERR976457,CNRVC950569,1970,Angola,,69,0
SAMEA3303541,ERR976458,CNRVC960552,,,,69,1
SAMEA3303543,ERR976459,CNRVC960575,1970,Benin,,69,0
SAMEA3303544,ERR976460,CNRVC960579,,,,69,0
SAMEA3303551,ERR976463,CNRVC960596,1970,Ethiopia,,69,0
SAMEA3303553,ERR976464,CNRVC960623,1970,Ghana,,69,0
SAMEA3303555,ERR976465,CNRVC960627,1970,Ghana,,69,0
SAMEA3303557,ERR976466,CNRVC960629,,,,69,1
SAMEA3303559,ERR976467,CNRVC960635,,,,69,0
SAMEA3303561,ERR976468,CNRVC960928,1970,Liberia,,69,16
SAMEA3303564,ERR976469,CNRVC960946,,,,69,1
SAMEA3303566,ERR976470,CNRVC960949,,,,69,0
SAMEA3303568,ERR976471,CNRVC960951,1970,Libya,,69,0
SAMEA3303570,ERR976472,CNRVC960952,,,,69,0
SAMEA3303572,ERR976473,CNRVC960959,,,,69,0
SAMEA3303574,ERR976474,CNRVC960971,,,,69,0
SAMEA3303576,ERR976475,CNRVC961014,,,,69,0
SAMEA3303578,ERR976476,CNRVC970008,,,,69,0
SAMEA3303580,ERR976477,CNRVC980038,1986,Sierra Leone,,69,0
SAMEA3303581,ERR976478,CNRVC980039,,,,69,1
SAMEA3303582,ERR976479,CNRVC980040,1984,Burkina Faso,,69,0
SAMEA3303583,ERR976480,CNRVC980041,,,,69,0
SAMEA3303584,ERR976481,CNRVC980043,1985,Mali,,69,0
SAMEA3303585,ERR976482,CNRVC980044,,,,69,1
SAMEA3303586,ERR976483,CNRVC980046,,,,69,1
SAMEA3303587,ERR976484,CNRVC980047,,,,69,3
SAMEA3303588,ERR976485,CNRVC980048,1984,Burkina Faso,,69,1
SAMEA3303387,ERR976486,CNRVC980049,1984,Burkina Faso,,69,0
SAMEA3303388,ERR976487,CNRVC980050,,,,69,1
SAMEA3303390,ERR976488,CNRVC140117,1991,Bolivia,,69,0
SAMEA3303392,ERR976489,CNRVC140118,1991,Brazil,,69,0
SAMEA3303394,ERR976490,CNRVC140119,,,,48,73
SAMEA3303396,ERR976491,CNRVC140120,,,,48,47
SAMEA3303398,ERR976492,CNRVC140121,1991,Brazil,,69,2
SAMEA3303401,ERR976493,CNRVC140122,1992,Brazil,,69,5
SAMEA3303402,ERR976494,CNRVC140123,1992,Bolivia,,69,1
SAMEA3303404,ERR976495,CNRVC140124,1992,Bolivia,,69,4
SAMEA3303405,ERR976496,CNRVC140125,1992,Bolivia,,69,0
SAMEA3303407,ERR976497,CNRVC140126,1991,Bolivia,,69,0
SAMEA3303410,ERR976498,CNRVC140127,1988,Angola,,69,4
SAMEA3303411,ERR976499,CNRVC140128,1988,Angola,,69,11
SAMEA3303413,ERR976500,CNRVC140129,1988,Angola,,69,3
SAMEA3303419,ERR976501,CNRVC140130,1988,Angola,,69,4
SAMEA3303420,ERR976502,CNRVC140131,1988,Angola,,69,2
SAMEA3303422,ERR976503,CNRVC140132,1988,Angola,,69,2
SAMEA3303423,ERR976504,CNRVC140133,1994,Guinea-Bissau,,69,2
SAMEA3303425,ERR976505,CNRVC140134,,,,69,27
SAMEA3303427,ERR976506,CNRVC140135,,,,69,9
SAMEA3303430,ERR976507,CNRVC140136,,,,69,10
SAMEA3303432,ERR976508,CNRVC140137,,,,69,6
SAMEA3303434,ERR976509,CNRVC140138,,,,542,43
SAMEA3303437,ERR976510,CNRVC140139,,,,69,2
SAMEA3303438,ERR976511,CNRVC140140,1988,Cote d'lvoire,,69,7
SAMEA3303440,ERR976512,CNRVC140141,1988,Cote d'lvoire,,69,2
SAMEA3303442,ERR976513,CNRVC910036,,,,69,1
SAMEA3303443,ERR976514,CNRVC910266,,,,69,4
SAMEA3303445,ERR976515,CNRVC910267,,,,69,4
SAMEA3303447,ERR976516,CNRVC910279,1991,Niger,,69,0
SAMEA3303449,ERR976517,CNRVC910347,,,,69,4
SAMEA3303451,ERR976518,CNRVC910349,,,,69,6
SAMEA3303453,ERR976519,CNRVC910375,,,,69,0
SAMEA3303454,ERR976520,CNRVC910386,,,,69,5
SAMEA3303456,ERR976521,CNRVC910429,,,,69,11
SAMEA3303457,ERR976522,CNRVC920027,1992,Angola,,69,4
SAMEA3303460,ERR976523,CNRVC920049,,,,69,7
SAMEA3303461,ERR976524,CNRVC920169,,,,69,9
SAMEA3303464,ERR976525,CNRVC930153,,,,69,4
SAMEA3303466,ERR976526,CNRVC930185,,,,69,6
SAMEA3303468,ERR976527,CNRVC930255,,,,69,0
SAMEA3303470,ERR976528,CNRVC930409,,,,69,3
SAMEA3303472,ERR976529,CNRVC930417,,,,69,11
SAMEA3303474,ERR976530,CNRVC930425,,,,69,9
SAMEA3303477,ERR976531,CNRVC930428,1993,Tanzania,,69,5
SAMEA3303479,ERR976532,CNRVC940011,1994,Angola,,69,0
SAMEA3303481,ERR976533,CNRVC940012,1994,Angola,,69,2
SAMEA3303483,ERR976534,CNRVC940030,,,,69,0
SAMEA3303485,ERR976535,CNRVC940034,,,,69,0
SAMEA3303486,ERR976536,CNRVC940035,,,,69,0
SAMEA3303488,ERR976537,CNRVC940103,,,,69,3
SAMEA3303491,ERR976538,CNRVC940109,,,,69,2
SAMEA3303492,ERR976539,CNRVC940128,,,,69,4
SAMEA3303495,ERR976540,CNRVC940131,,,,69,5
SAMEA3303497,ERR976541,CNRVC940137,,,,69,0
SAMEA3303498,ERR976542,CNRVC940141,,,,69,0
SAMEA3303500,ERR976543,CNRVC940142,1994,Liberia,,69,0
SAMEA3303502,ERR976544,CNRVC940143,,,,69,4
SAMEA3303504,ERR976545,CNRVC940147,,,,69,0
SAMEA3303505,ERR976546,CNRVC940162,,,,69,0
SAMEA3303690,ERR976547,CNRVC970170,,,,69,1
SAMEA3303691,ERR976548,CNRVC970174,1997,DR Congo,,69,3
SAMEA3303692,ERR976549,CNRVC970175,,,,69,1
SAMEA3303693,ERR976550,CNRVC970176,,,,69,3
SAMEA3303694,ERR976551,CNRVC970177,,,,69,1
SAMEA3303695,ERR976552,CNRVC980004,,,,69,0
SAMEA3303696,ERR976553,CNRVC980005,1998,Uganda,,69,0
SAMEA3303697,ERR976554,CNRVC980021,,,,69,0
SAMEA3303698,ERR976555,CNRVC980022,,,,69,0
SAMEA3303699,ERR976556,CNRVC980023,,,,69,0
SAMEA3303700,ERR976557,CNRVC980026,,,,69,0
SAMEA3303701,ERR976558,CNRVC980029,19989,Comoros,,69,0
SAMEA3303702,ERR976559,CNRVC980030,,,,69,1
SAMEA3303703,ERR976560,CNRVC980034,,,,69,1
SAMEA3303704,ERR976561,CNRVC980060,,,,69,1
SAMEA3303705,ERR976562,CNRVC980061,,,,69,1
SAMEA3303706,ERR976563,CNRVC980080,,,,69,0
SAMEA3303707,ERR976564,CNRVC980081,,,,69,0
SAMEA3303708,ERR976565,CNRVC980158,,,,69,1
SAMEA3303709,ERR976566,CNRVC980194,,,,69,0
SAMEA3303710,ERR976567,CNRVC980195,,,,69,1
SAMEA3303711,ERR976568,CNRVC980323,,,,69,1
SAMEA3303712,ERR976569,CNRVC980324,1998,Rwanda,,69,0
SAMEA3303713,ERR976570,CNRVC980328,,,,69,1
SAMEA3303714,ERR976571,CNRVC980356,,,,69,0
SAMEA3303715,ERR976572,CNRVC980359,,,,69,1
SAMEA3303716,ERR976573,CNRVC980360,,,,69,1
SAMEA3303717,ERR976574,CNRVC980367,,,,69,0
SAMEA3303718,ERR976575,CNRVC980384,1998,Sudan,,69,0
SAMEA3303719,ERR976576,CNRVC980395,,,,69,1
SAMEA3303720,ERR976577,CNRVC980396,,,,69,3
SAMEA3303721,ERR976578,CNRVC980397,,,,69,1
SAMEA3303722,ERR976579,CNRVC980398,,,,69,2
SAMEA3303723,ERR976580,CNRVC980418,,,,69,3
SAMEA3303603,ERR976581,CNRVC980420,,,,69,1
SAMEA3303605,ERR976582,CNRVC980421,,,,69,0
SAMEA3303607,ERR976583,CNRVC990002,1999,Somalia,,69,1
SAMEA3303609,ERR976584,CNRVC990015,,,,69,0
SAMEA3303611,ERR976585,CNRVC990019,,,,69,0
SAMEA3303613,ERR976586,CNRVC990038,,,,69,0
SAMEA3303614,ERR976587,CNRVC990039,,,,69,0
SAMEA3303616,ERR976588,CNRVC990078,,,,69,0
SAMEA3303618,ERR976589,CNRVC000055,,,,69,0
SAMEA3303620,ERR976590,CNRVC000056,,,,69,0
SAMEA3303622,ERR976591,CNRVC000058,,,,69,0
SAMEA3303624,ERR976592,CNRVC000059,,,,69,0
SAMEA3303626,ERR976593,CNRVC000060,,,,69,0
SAMEA3303629,ERR976594,CNRVC000062,,,,69,1
SAMEA3303631,ERR976595,CNRVC000064,,,,69,1
SAMEA3303632,ERR976596,CNRVC000065,,,,69,1
SAMEA3303634,ERR976597,CNRVC010015,,,,69,2
SAMEA3303636,ERR976598,CNRVC010017,,,,69,2
SAMEA3303638,ERR976599,CNRVC010018,,,,69,0
SAMEA3303508,ERR998656,CNRVC940163,,,,69,1
SAMEA3303509,ERR998657,CNRVC940164,,,,69,0
SAMEA3303512,ERR998658,CNRVC940165,,,,69,3
SAMEA3303514,ERR998659,CNRVC940173,,,,69,4
SAMEA3303515,ERR998660,CNRVC940179,,,,69,1
SAMEA3303517,ERR998661,CNRVC940180,,,,69,1
SAMEA3303519,ERR998662,CNRVC940184,,,,69,0
SAMEA3303521,ERR998663,CNRVC940190,,,,69,1
SAMEA3303522,ERR998664,CNRVC950002,1995,Angola,,69,0
SAMEA3303524,ERR998665,CNRVC950007,1995,Angola,,69,0
SAMEA3303534,ERR998666,CNRVC950011,,,,69,0
SAMEA3303536,ERR998667,CNRVC950693,,,,69,4
SAMEA3303538,ERR998668,CNRVC950694,,,,69,7
SAMEA3303540,ERR998669,CNRVC950695,,,,69,5
SAMEA3303542,ERR998670,CNRVC950699,,,,69,0
SAMEA3303545,ERR998671,CNRVC950700,,,,69,0
SAMEA3303547,ERR998672,CNRVC950702,,,,69,1
SAMEA3303549,ERR998673,CNRVC950707,,,,69,0
SAMEA3303550,ERR998674,CNRVC950708,,,,69,0
SAMEA3303552,ERR998675,CNRVC950712,,,,69,1
SAMEA3303554,ERR998676,CNRVC950723,,,,69,2
SAMEA3303556,ERR998677,CNRVC950724,,,,69,2
SAMEA3303558,ERR998678,CNRVC950728,,,,69,1
SAMEA3303560,ERR998679,CNRVC950730,,,,69,1
SAMEA3303562,ERR998680,CNRVC950744,,,,73,3
SAMEA3303563,ERR998681,CNRVC950746,,,,69,4
SAMEA3303565,ERR998682,CNRVC950753,,,,69,0
SAMEA3303567,ERR998683,CNRVC950755,,,,69,0
SAMEA3303569,ERR998684,CNRVC950756,,,,69,0
SAMEA3303571,ERR998685,CNRVC950758,,,,69,0
SAMEA3303573,ERR998686,CNRVC950759,,,,69,0
SAMEA3303575,ERR998687,CNRVC950801,,,,69,0
SAMEA3303577,ERR998688,CNRVC950806,,,,69,1
SAMEA3303579,ERR998689,CNRVC960003,,,,69,0
SAMEA3303589,ERR998690,CNRVC960018,,,,69,4
SAMEA3303590,ERR998691,CNRVC960023,,,,69,0
SAMEA3303591,ERR998692,CNRVC960028,,,,69,1
SAMEA3303592,ERR998693,CNRVC960031,,,,69,0
SAMEA3303593,ERR998694,CNRVC960118,,,,69,1
SAMEA3303594,ERR998695,CNRVC960122,,,,69,0
SAMEA3303595,ERR998696,CNRVC960124,,,,69,7
SAMEA3303596,ERR998697,CNRVC960127,,,,69,1
SAMEA3303597,ERR998698,CNRVC960218,,,,69,2
SAMEA3303598,ERR998699,CNRVC960223,,,,69,4
SAMEA3303599,ERR998700,CNRVC960228,,,,69,5
SAMEA3303600,ERR998701,CNRVC960234,,,,69,1
SAMEA3303601,ERR998702,CNRVC960243,,,,69,5
SAMEA3303602,ERR998703,CNRVC960246,,,,69,1
SAMEA3303604,ERR998704,CNRVC960250,1996,Mali,,69,1
SAMEA3303606,ERR998705,CNRVC960252,,,,69,1
SAMEA3303608,ERR998706,CNRVC960254,,,,,1
SAMEA3303610,ERR998707,CNRVC960258,,,,69,1
SAMEA3303612,ERR998708,CNRVC960265,,,,69,1
SAMEA3303615,ERR998709,CNRVC960271,,,,69,1
SAMEA3303617,ERR998710,CNRVC960272,,,,69,0
SAMEA3303619,ERR998711,CNRVC960273,,,,69,1
SAMEA3303621,ERR998712,CNRVC960293,,,,69,2
SAMEA3303623,ERR998713,CNRVC960299,,,,69,4
SAMEA3303625,ERR998714,CNRVC960308,,,,69,4
SAMEA3303627,ERR998715,CNRVC960312,,,,69,4
SAMEA3303628,ERR998716,CNRVC960317,,,,69,4
SAMEA3303630,ERR998717,CNRVC960318,,,,69,0
SAMEA3303633,ERR998718,CNRVC960321,,,,69,0
SAMEA3303635,ERR998719,CNRVC960324,,,,69,0
SAMEA3303637,ERR998720,CNRVC960327,,,,69,0
SAMEA3303639,ERR998721,CNRVC960328,,,,69,4
SAMEA3303640,ERR998722,CNRVC960329,,,,69,4
SAMEA3303641,ERR998723,CNRVC970004,,,,69,4
SAMEA3303642,ERR998724,CNRVC970007,,,,69,5
SAMEA3303643,ERR998725,CNRVC970014,,,,69,1
SAMEA3303644,ERR998726,CNRVC970019,,,,69,0
SAMEA3303645,ERR998727,CNRVC970022,,,,69,1
SAMEA3303646,ERR998728,CNRVC970024,,,,69,1
