BioSample,ST,Void_loci,SourceSeq,AMR genes,Identifier,SourceCountry,IsolatYear,Serogroup_type,Plasmid
SAMEA2698353,69,38,ERR579090,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",VC2248-1-CDC,China,2008 ,O1_Inaba,
SAMEA2698354,69,15,ERR579091,"aph(3'')-Ib, aph(6)-Id, catB9, floR, sul2, tet(A), varG",SC2000-CDC,China,2000 ,O1,
SAMEA2698355,69,13,ERR579092,"aph(3'')-Ib, aph(6)-Id, catB9, floR, sul2, tet(A), varG",SC1998_242-1-CDC,China,1998 ,O1_Ogawa,
SAMEA2698356,69,16,ERR579093,"aph(3'')-Ib, aph(6)-Id, catB9, floR, sul2, tet(A), varG",JX1998-1306-1-CDC,China,1998 ,O1_Ogawa,
SAMEA2698377,69,17,ERR579114,"aph(3'')-Ib, aph(6)-Id, catB9, floR, sul2, tet(A), varG",SC1998_098-1-CDC,China,1998 ,O1_Ogawa,
SAMEA2699023,69,8,ERR579309,"catB9, varG",9-CDC,China,2001 ,O1_Inaba,
SAMEA2699024,69,4,ERR579311,"aadA1, catB9, sul1, varG",129-CDC,China,1994 ,O1_Ogawa,
SAMEA2699025,69,16,ERR579314,"aadA1, catB9, sul1, varG",200106-CDC,China,2001 ,O1_Inaba,
SAMEA2781617,75,9,ERR632093,varG,3247-CN,China,1977 ,O1,
SAMEA2781618,75,33,ERR632094,varG,E506,,1973 ,O1,
SAMEA3145922,69,1,ERR776112,"catB9, varG",MS1568Hil,,,,
SAMEA3145923,73,43,ERR776113,varG,MS1012Hil,,,,
SAMEA3212655,69,3,ERR732739,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, sul2, tetA(D), varG",ICDC-VC2272,,,,
SAMEA3212656,69,0,ERR732773,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, mph(A), sul2, tetA(D), varG",ICDCJS4,,,,
SAMEA3303386,69,15,ERR976391,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(C), varG",CNRVC900105,Angola,1990 ,,IncC
SAMEA3303387,69,1,ERR976486,"catB9, varG",CNRVC980049,Burkina Faso,1984 ,,
SAMEA3303388,69,2,ERR976487,"aadA1, aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA1, dfrA15, sul1, sul2, tet(C), varG",CNRVC980050,DR Congo,1984-1986,,IncC
SAMEA3303389,69,11,ERR976392,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(C), varG",CNRVC900117,Malawi,1990 ,,IncC
SAMEA3303390,69,3,ERR976488,"catB9, varG",CNRVC140117,Bolivia,1991 ,,
SAMEA3303391,69,21,ERR976393,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(C), varG",CNRVC900123,Malawi,1990 ,,IncC
SAMEA3303392,69,3,ERR976489,"catB9, varG",CNRVC140118,Brazil,1991 ,,
SAMEA3303393,69,8,ERR976394,"catB9, varG",CNRVC920170,Malawi,1989 ,,
SAMEA3303394,48,151,ERR976490,varG,CNRVC140119,,,,
SAMEA3303395,69,4,ERR976395,"catB9, varG",CNRVC920172,Algeria,1987 ,,
SAMEA3303396,48,123,ERR976491,varG,CNRVC140120,,,,
SAMEA3303397,69,8,ERR976396,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(C), varG",CNRVC920194,Angola,1990 ,,IncC
SAMEA3303398,69,4,ERR976492,"catB9, varG",CNRVC140121,Brazil,1991 ,,
SAMEA3303399,69,15,ERR976397,"catB9, varG",CNRVC930027,Egypt,1966 ,,
SAMEA3303400,69,1,ERR976398,"catB9, varG",CNRVC930037,Sierra Leone,1970 ,,
SAMEA3303401,69,10,ERR976493,"catB9, varG",CNRVC140122,Brazil,1992 ,,
SAMEA3303402,69,3,ERR976494,"catB9, varG",CNRVC140123,Bolivia,1992 ,,
SAMEA3303403,69,1,ERR976399,"catB9, varG",CNRVC930038,Ethiopia,1970 ,,
SAMEA3303404,69,8,ERR976495,"catB9, varG",CNRVC140124,Bolivia,1992 ,,
SAMEA3303405,69,2,ERR976496,"catB9, varG",CNRVC140125,Bolivia,1992 ,,
SAMEA3303406,69,1,ERR976400,"catB9, varG",CNRVC930042,Cameroon,1970 ,,
SAMEA3303407,69,3,ERR976497,"catB9, varG",CNRVC140126,Bolivia,1991 ,,
SAMEA3303408,69,5,ERR976401,"catB9, varG",CNRVC930046,Chad,1971 ,,
SAMEA3303409,69,1,ERR976402,"catB9, varG",CNRVC930075,Mali,1970 ,,
SAMEA3303410,69,13,ERR976498,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, blaTEM-1, catA1, catB9, dfrA1, sat2, sul2, tet(B), varG",CNRVC140127,Angola,1988 ,,IncC
SAMEA3303411,69,11,ERR976499,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, blaTEM-1, catA1, catB9, dfrA1, sat2, sul2, varG",CNRVC140128,Angola,1988 ,,IncC
SAMEA3303412,69,1,ERR976403,"catB9, varG",CNRVC930127,Guinea,1970 ,,
SAMEA3303413,69,5,ERR976500,"catB9, varG",CNRVC140129,Angola,1988 ,,
SAMEA3303418,69,11,ERR976404,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",CNRVC930163,DR Congo,1988 ,,IncC
SAMEA3303419,69,6,ERR976501,"catB9, varG",CNRVC140130,Angola,1988 ,,
SAMEA3303420,69,2,ERR976502,"catB9, varG",CNRVC140131,Angola,1988 ,,
SAMEA3303421,69,1,ERR976405,"aadA1, catB9, dfrA1, sat2, varG",CNRVC930164,Algeria,1983 ,,
SAMEA3303422,69,4,ERR976503,"catB9, varG",CNRVC140132,Angola,1988 ,,
SAMEA3303423,69,4,ERR976504,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC140133,Guinea-Bissau,1994-1995,,
SAMEA3303424,69,6,ERR976406,"catB9, varG",CNRVC930166,Algeria,1975 ,,
SAMEA3303425,69,28,ERR976505,"catB9, varG",CNRVC140134,Portugal,1971 ,,
SAMEA3303426,69,2,ERR976407,"catB9, varG",CNRVC930167,Algeria,1982 ,,
SAMEA3303427,69,13,ERR976506,"catB9, varG",CNRVC140135,Portugal,1971 ,,
SAMEA3303428,69,0,ERR976408,"catB9, varG",CNRVC930168,Algeria,1982 ,,
SAMEA3303429,69,0,ERR976409,"catB9, varG",CNRVC930169,Algeria,1986 ,,
SAMEA3303430,69,16,ERR976507,"catB9, varG",CNRVC140136,Portugal,1971 ,,
SAMEA3303431,69,3,ERR976410,"aadA1, aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA1, dfrA15, sul1, sul2, tet(C), varG",CNRVC930170,DR Congo,1984 ,,IncC
SAMEA3303432,69,9,ERR976508,"catB9, varG",CNRVC140137,Portugal,1974 ,,
SAMEA3303433,69,3,ERR976411,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(C), varG",CNRVC930171,Cote d'Ivoire,1984 ,,IncC
SAMEA3303434,542,44,ERR976509,"qnrVC, varG",CNRVC140138,,,,
SAMEA3303435,69,0,ERR976412,"catB9, varG",CNRVC930172,Algeria,1986 ,,
SAMEA3303436,69,7,ERR976413,"catB9, varG",CNRVC930187,Algeria,1974 ,,
SAMEA3303437,69,4,ERR976510,"catB9, varG",CNRVC140139,Portugal,1974 ,,
SAMEA3303438,69,12,ERR976511,"catB9, varG",CNRVC140140,Cote d'Ivoire,1988 ,,
SAMEA3303439,69,4,ERR976414,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",CNRVC940051,Rwanda,1988 ,,IncC
SAMEA3303440,69,6,ERR976512,"catB9, varG",CNRVC140141,Cote d'Ivoire,1988 ,,
SAMEA3303441,69,4,ERR976415,"catB9, varG",CNRVC950040,Chad,1972 ,,
SAMEA3303442,69,1,ERR976513,"catB9, varG",CNRVC910036,Benin,1991 ,,
SAMEA3303443,69,11,ERR976514,"catB9, varG",CNRVC910266,Benin,1991 ,,
SAMEA3303444,69,2,ERR976416,"catB9, varG",CNRVC950087,Chad,1972 ,,
SAMEA3303445,69,11,ERR976515,"catB9, varG",CNRVC910267,Benin,1991 ,,
SAMEA3303446,69,4,ERR976417,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",CNRVC950091,,,,IncC
SAMEA3303447,69,0,ERR976516,"catB9, varG",CNRVC910279,Niger,1991 ,,
SAMEA3303448,69,1,ERR976418,"catB9, varG",CNRVC950105,Burkina Faso,1974 ,,
SAMEA3303449,69,10,ERR976517,"catB9, varG",CNRVC910347,Morocco,1991 ,,
SAMEA3303450,69,2,ERR976419,"catB9, varG",CNRVC950106,Burkina Faso,1974 ,,
SAMEA3303451,69,7,ERR976518,"catB9, varG",CNRVC910349,Morocco,1991 ,,
SAMEA3303452,69,1,ERR976420,"catB9, varG",CNRVC950138,Cameroon,1970 ,,
SAMEA3303453,69,0,ERR976519,"catB9, varG",CNRVC910375,Cote d'Ivoire,1991 ,,
SAMEA3303454,69,4,ERR976520,"catB9, varG",CNRVC910386,Morocco,1991 ,,
SAMEA3303455,69,2,ERR976421,"catB9, varG",CNRVC950140,Cameroon,1970 ,,
SAMEA3303456,69,13,ERR976521,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",CNRVC910429,DR Congo,1991 ,,IncC
SAMEA3303457,69,7,ERR976522,"aadA25, blaCARB-2, catA1, catB9, dfrA15, floR2, sul1, sul2, tet(G), varG",CNRVC920027,Angola,1992 ,,IncC
SAMEA3303458,69,2,ERR976422,"catB9, varG",CNRVC950141,Cameroon,1970 ,,
SAMEA3303459,69,2,ERR976423,"catB9, varG",CNRVC950142,Cameroon,1970 ,,
SAMEA3303460,69,14,ERR976523,"catA1, catB9, dfrA15, sul1, sul2, varG",CNRVC920049,Malawi,1992 ,,IncC
SAMEA3303461,69,14,ERR976524,"catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",CNRVC920169,DR Congo,1992 ,,IncC
SAMEA3303462,69,1,ERR976424,"catB9, varG",CNRVC950143,Cameroon,1970 ,,
SAMEA3303463,69,3,ERR976425,"catB9, varG",CNRVC950182,Cote d'Ivoire,1973 ,,
SAMEA3303464,69,6,ERR976525,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",CNRVC930153,DR Congo,1993 ,,IncC
SAMEA3303465,69,2,ERR976426,"catB9, varG",CNRVC950189,Cote d'Ivoire,1973 ,,
SAMEA3303466,69,9,ERR976526,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",CNRVC930185,DR Congo,1993 ,,IncC
SAMEA3303467,69,2,ERR976427,"catB9, varG",CNRVC950191,Cote d'Ivoire,1973 ,,
SAMEA3303468,69,0,ERR976527,"catB9, varG",CNRVC930255,Morocco,1993 ,,
SAMEA3303469,69,1,ERR976428,"catB9, varG",CNRVC950203,Cote d'Ivoire,1970 ,,
SAMEA3303470,69,4,ERR976528,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",CNRVC930409,Rwanda,1993 ,,IncC
SAMEA3303471,69,0,ERR976429,"catB9, varG",CNRVC950223,Ghana,1971 ,,
SAMEA3303472,69,15,ERR976529,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",CNRVC930417,Burundi,1993 ,,IncC
SAMEA3303473,69,66,ERR976430,"catB9, varG",CNRVC950224,Ghana,1971 ,,
SAMEA3303474,69,12,ERR976530,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",CNRVC930425,Burundi,1993 ,,IncC
SAMEA3303475,69,1,ERR976431,"catB9, varG",CNRVC950235,Nigeria,1970 ,,
SAMEA3303476,69,3,ERR976432,"catB9, varG",CNRVC950238,Nigeria,1970 ,,
SAMEA3303477,69,7,ERR976531,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",CNRVC930428,Tanzania,1993 ,,IncC
SAMEA3303478,69,2,ERR976433,"catB9, varG",CNRVC950253,Senegal,1973 ,,
SAMEA3303479,69,7,ERR976532,"aadA25, aph(3')-Ia, catA1, catB9, dfrA15, sul1, sul2, varG",CNRVC940011,Angola,1994 ,,IncC
SAMEA3303480,69,2,ERR976434,"catB9, varG",CNRVC950326,Senegal,1974 ,,
SAMEA3303481,69,8,ERR976533,"aadA25, aph(3')-Ia, blaCARB-2, catA1, catB9, dfrA15, floR2, sul1, sul2, tet(G), varG",CNRVC940012,Angola,1994 ,,IncC
SAMEA3303482,69,3,ERR976435,"catB9, varG",CNRVC950343,Senegal,1972 ,,
SAMEA3303483,69,0,ERR976534,"catB9, varG",CNRVC940030,Cote d'Ivoire,1993 ,,
SAMEA3303484,69,3,ERR976436,"catB9, varG",CNRVC950345,Senegal,1971 ,,
SAMEA3303485,69,0,ERR976535,"catB9, varG",CNRVC940034,Cote d'Ivoire,1994 ,,
SAMEA3303486,69,0,ERR976536,"catB9, varG",CNRVC940035,Cote d'Ivoire,1993 ,,
SAMEA3303487,69,1,ERR976437,"catB9, varG",CNRVC950358,Chad,1974 ,,
SAMEA3303488,69,6,ERR976537,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC940103,Guinea,1994 ,,
SAMEA3303489,69,1,ERR976438,"catB9, varG",CNRVC950360,Chad,1974 ,,
SAMEA3303490,69,1,ERR976439,"catB9, varG",CNRVC950364,Chad,1972 ,,
SAMEA3303491,69,4,ERR976538,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC940109,Guinea,1994 ,,
SAMEA3303492,69,5,ERR976539,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC940128,Guinea,1994 ,,
SAMEA3303493,69,1,ERR976440,"catB9, varG",CNRVC950366,Chad,1974 ,,
SAMEA3303494,69,1,ERR976441,"catB9, varG",CNRVC950376,Tunisia,1974 ,,
SAMEA3303495,69,6,ERR976540,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",CNRVC940131,DR Congo,1994 ,,IncC
SAMEA3303496,69,3,ERR976442,"catB9, varG",CNRVC950396,Burkina Faso,1974 ,,
SAMEA3303497,69,0,ERR976541,"catB9, varG",CNRVC940137,Morocco,1994 ,,
SAMEA3303498,69,0,ERR976542,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC940141,Guinea,1994 ,,
SAMEA3303499,69,4,ERR976443,"catB9, varG",CNRVC950405,Burkina Faso,1974 ,,
SAMEA3303500,69,0,ERR976543,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC940142,Liberia,1994 ,,
SAMEA3303501,69,1,ERR976444,"catB9, varG",CNRVC950418,Algeria,1974 ,,
SAMEA3303502,69,4,ERR976544,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",CNRVC940143,DR Congo,1994 ,,IncC
SAMEA3303503,69,1,ERR976445,"catB9, varG",CNRVC950431,Morocco,1974 ,,
SAMEA3303504,69,0,ERR976545,"catB9, varG",CNRVC940147,Liberia,1994 ,,
SAMEA3303505,69,0,ERR976546,"catB9, varG",CNRVC940162,Liberia,1994 ,,
SAMEA3303506,69,1,ERR976446,"catB9, varG",CNRVC950466,Morocco,1972 ,,
SAMEA3303507,69,3,ERR976447,"catB9, varG",CNRVC950468,Morocco,1972 ,,
SAMEA3303508,69,2,ERR998656,"catB9, varG",CNRVC940163,Chad,1994 ,,
SAMEA3303509,69,0,ERR998657,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC940164,Liberia,1994 ,,
SAMEA3303510,69,1,ERR976448,"catB9, varG",CNRVC950476,Morocco,1972 ,,
SAMEA3303511,69,4,ERR976449,"catB9, varG",CNRVC950487,Morocco,1972 ,,
SAMEA3303512,69,6,ERR998658,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC940165,Liberia,1994 ,,
SAMEA3303513,69,1,ERR976450,"catB9, varG",CNRVC950498,Morocco,1972 ,,
SAMEA3303514,69,4,ERR998659,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",CNRVC940173,DR Congo,1994 ,,IncC
SAMEA3303515,69,1,ERR998660,"catB9, varG",CNRVC940179,Morocco,1994 ,,
SAMEA3303516,69,5,ERR976451,"catB9, varG",CNRVC950535,Comoros,1975 ,,
SAMEA3303517,69,1,ERR998661,"catB9, varG",CNRVC940180,Morocco,1994 ,,
SAMEA3303518,69,3,ERR976452,"catB9, varG",CNRVC950540,Comoros,1975 ,,
SAMEA3303519,69,1,ERR998662,"catB9, varG",CNRVC940184,Chad,1994 ,,
SAMEA3303520,69,0,ERR976453,"catB9, varG",CNRVC950543,Comoros,1975 ,,
SAMEA3303521,69,1,ERR998663,"catB9, varG",CNRVC940190,Niger,1994 ,,
SAMEA3303522,69,1,ERR998664,"aadA25, aph(3')-Ia, blaCARB-2, catA1, catB9, dfrA15, floR2, sul1, sul2, tet(G), varG",CNRVC950002,Angola,1995 ,,IncC
SAMEA3303523,69,1,ERR976454,"catB9, varG",CNRVC950558,Tunisia,1971 ,,
SAMEA3303524,69,1,ERR998665,"aadA25, aph(3')-Ia, blaCARB-2, catA1, catB9, dfrA15, floR2, sul1, sul2, tet(G), varG",CNRVC950007,Angola,1995 ,,IncC
SAMEA3303534,69,2,ERR998666,"catB9, varG",CNRVC950011,Cameroon,1995 ,,
SAMEA3303535,69,1,ERR976455,"catB9, varG",CNRVC950559,Tunisia,1971 ,,
SAMEA3303536,69,5,ERR998667,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",CNRVC950693,DR Congo,1995 ,,IncC
SAMEA3303537,69,2,ERR976456,"catB9, varG",CNRVC950568,Angola,1970 ,,
SAMEA3303538,69,9,ERR998668,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",CNRVC950694,DR Congo,1995 ,,IncC
SAMEA3303539,69,2,ERR976457,"catB9, varG",CNRVC950569,Angola,1970 ,,
SAMEA3303540,69,5,ERR998669,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",CNRVC950695,DR Congo,1995 ,,IncC
SAMEA3303541,69,2,ERR976458,"catB9, varG",CNRVC960552,Cote d'Ivoire,1970 ,,
SAMEA3303542,69,0,ERR998670,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950699,Guinea,1995 ,,
SAMEA3303543,69,2,ERR976459,"catB9, varG",CNRVC960575,Benin,1970 ,,
SAMEA3303544,69,1,ERR976460,"catB9, varG",CNRVC960579,Benin,1970 ,,
SAMEA3303545,69,0,ERR998671,"catB9, varG",CNRVC950700,Burkina Faso,1995 ,,
SAMEA3303547,69,1,ERR998672,"catB9, varG",CNRVC950702,Burkina Faso,1995 ,,
SAMEA3303549,69,0,ERR998673,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950707,Mali,1995 ,,
SAMEA3303550,69,0,ERR998674,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950708,Mali,1995 ,,
SAMEA3303551,69,1,ERR976463,"catB9, varG",CNRVC960596,Ethiopia,1970 ,,
SAMEA3303552,69,3,ERR998675,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950712,Sierra Leone,1995 ,,
SAMEA3303553,69,1,ERR976464,"catB9, varG",CNRVC960623,Ghana,1970 ,,
SAMEA3303554,69,2,ERR998676,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950723,Guinea,1995 ,,
SAMEA3303555,69,2,ERR976465,"catB9, varG",CNRVC960627,Ghana,1970 ,,
SAMEA3303556,69,2,ERR998677,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950724,Guinea,1995 ,,
SAMEA3303557,69,2,ERR976466,"catB9, varG",CNRVC960629,Guinea,1970 ,,
SAMEA3303558,69,1,ERR998678,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950728,Liberia,1995 ,,
SAMEA3303559,69,1,ERR976467,"catB9, varG",CNRVC960635,Guinea,1970 ,,
SAMEA3303560,69,1,ERR998679,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950730,Liberia,1995 ,,
SAMEA3303561,69,17,ERR976468,"catB9, varG",CNRVC960928,Liberia,1970 ,,
SAMEA3303562,73,26,ERR998680,varG,CNRVC950744,,,,
SAMEA3303563,69,6,ERR998681,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",CNRVC950746,DR Congo,1995 ,,IncC
SAMEA3303564,69,2,ERR976469,"catB9, varG",CNRVC960946,Liberia,1970 ,,
SAMEA3303565,69,0,ERR998682,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950753,Cote d'Ivoire,1995 ,,
SAMEA3303566,69,1,ERR976470,"catB9, varG",CNRVC960949,Libya,1970 ,,
SAMEA3303567,69,0,ERR998683,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950755,Cote d'Ivoire,1995 ,,
SAMEA3303568,69,1,ERR976471,"catB9, varG",CNRVC960951,Libya,1970 ,,
SAMEA3303569,69,0,ERR998684,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950756,Cote d'Ivoire,1995 ,,
SAMEA3303570,69,2,ERR976472,"catB9, varG",CNRVC960952,Mali,1970 ,,
SAMEA3303571,69,0,ERR998685,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950758,Cote d'Ivoire,1995 ,,
SAMEA3303572,69,1,ERR976473,"catB9, varG",CNRVC960959,Niger,1970 ,,
SAMEA3303573,69,0,ERR998686,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950759,Niger,1996 ,,
SAMEA3303574,69,1,ERR976474,"catB9, varG",CNRVC960971,Niger,1970 ,,
SAMEA3303575,69,0,ERR998687,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950801,Burkina Faso,1995 ,,
SAMEA3303576,69,1,ERR976475,"catB9, varG",CNRVC961014,Sierra Leone,1970 ,,
SAMEA3303577,69,1,ERR998688,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC950806,Burkina Faso,1995 ,,
SAMEA3303578,69,0,ERR976476,"catB9, varG",CNRVC970008,Algeria,1990 ,,
SAMEA3303579,69,0,ERR998689,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960003,Niger,1996 ,,
SAMEA3303580,69,0,ERR976477,"catB9, varG",CNRVC980038,Sierra Leone,1986 ,,
SAMEA3303581,69,2,ERR976478,"catB9, varG",CNRVC980039,Djibouti,1985 ,,
SAMEA3303582,69,1,ERR976479,"catB9, varG",CNRVC980040,Burkina Faso,1984 ,,
SAMEA3303583,69,1,ERR976480,"catB9, varG",CNRVC980041,Mali,1984 ,,
SAMEA3303584,69,1,ERR976481,"catB9, varG",CNRVC980043,Mali,1985 ,,
SAMEA3303585,69,2,ERR976482,"catB9, varG",CNRVC980044,Djibouti,1985 ,,
SAMEA3303586,69,3,ERR976483,"catB9, varG",CNRVC980046,Benin,1985 ,,
SAMEA3303587,69,3,ERR976484,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",CNRVC980047,DR Congo,1988 ,,IncC
SAMEA3303588,69,1,ERR976485,"catB9, varG",CNRVC980048,Burkina Faso,1984 ,,
SAMEA3303589,69,4,ERR998690,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960018,Senegal,1996 ,,
SAMEA3303590,69,0,ERR998691,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960023,Senegal,1996 ,,
SAMEA3303591,69,1,ERR998692,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960028,Nigeria,1996 ,,
SAMEA3303592,69,0,ERR998693,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960031,Senegal,1996 ,,
SAMEA3303593,69,1,ERR998694,"catB9, varG",CNRVC960118,DR Congo,1996 ,,
SAMEA3303594,69,0,ERR998695,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960122,Senegal,1996 ,,
SAMEA3303595,69,8,ERR998696,"catB9, varG",CNRVC960124,DR Congo,1996 ,,
SAMEA3303596,69,3,ERR998697,"catB9, varG",CNRVC960127,DR Congo,1996 ,,
SAMEA3303597,69,2,ERR998698,"catB9, varG",CNRVC960218,DR Congo,1996 ,,
SAMEA3303598,69,5,ERR998699,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960223,Liberia,1996 ,,
SAMEA3303599,69,5,ERR998700,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960228,Chad,1996 ,,
SAMEA3303600,69,1,ERR998701,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960234,Chad,1996 ,,
SAMEA3303601,69,5,ERR998702,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960243,Chad,1996 ,,
SAMEA3303602,69,2,ERR998703,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960246,Cameroon,1996 ,,
SAMEA3303603,69,1,ERR976581,"catB9, varG",CNRVC980420,Cote d'Ivoire,1998 ,,
SAMEA3303604,69,2,ERR998704,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960250,Mali,1996 ,,
SAMEA3303605,69,1,ERR976582,"catB9, varG",CNRVC980421,Cote d'Ivoire,1998 ,,
SAMEA3303606,69,1,ERR998705,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960252,Nigeria,1996 ,,
SAMEA3303607,69,2,ERR976583,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(C), varG",CNRVC990002,Somalia,1999 ,,IncC
SAMEA3303608,,1,ERR998706,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960254,Nigeria,1996 ,,
